#{"t_start": 1783733965.347783, "env_id": "SpaceInvaders-v0"}
r,l,t
195.0,631,403.127431
270.0,826,403.950233
95.0,371,404.321667
185.0,649,404.97992
65.0,441,405.41957
185.0,655,406.100653
60.0,691,406.829386
110.0,506,407.362177
120.0,686,408.054984
110.0,657,408.728898
30.0,356,409.08458
125.0,618,409.712007
335.0,1163,410.888325
55.0,597,411.492269
135.0,653,412.133248
110.0,643,412.780352
40.0,523,413.313807
175.0,1026,414.337492
35.0,589,414.927104
285.0,1003,415.931599
160.0,615,416.558467
265.0,1147,417.729042
30.0,385,418.108988
365.0,1221,419.335568
20.0,520,419.886003
30.0,497,420.380097
30.0,350,420.717699
45.0,381,421.103675
140.0,680,421.781749
120.0,696,422.46397
115.0,600,423.064033
75.0,573,423.621275
30.0,352,423.95629
145.0,481,424.434967
290.0,991,425.432121
70.0,547,425.975403
85.0,643,426.626596
95.0,703,427.32255
85.0,652,427.982491
160.0,908,428.892418
280.0,1118,429.986933
145.0,809,430.804365
155.0,610,431.437265
195.0,929,432.411777
185.0,940,433.38994
180.0,626,434.009522
80.0,484,434.49368
45.0,586,435.069369
105.0,523,435.598217
115.0,525,436.116615
65.0,488,436.595946
105.0,602,437.197903
105.0,770,437.978872
90.0,380,438.34404
185.0,921,439.274507
155.0,577,439.874249
245.0,745,440.628345
20.0,467,441.101077
30.0,389,441.489647
280.0,1023,442.518812
140.0,703,443.243236
135.0,706,443.956002
180.0,883,444.868748
135.0,563,445.465725
55.0,548,446.031988
30.0,685,446.713151
60.0,607,447.314682
90.0,639,447.951508
120.0,687,448.628055
105.0,499,449.12746
395.0,1046,450.142772
335.0,1088,451.229439
80.0,514,451.739874
55.0,411,452.163184
215.0,942,453.096593
145.0,672,453.762707
35.0,415,454.200417
80.0,764,454.98018
140.0,599,455.586088
30.0,460,456.066707
230.0,898,456.991819
45.0,389,457.39127
195.0,966,458.403488
55.0,536,458.919711
105.0,614,459.516557
120.0,607,460.107907
110.0,597,460.688709
65.0,587,461.257462
185.0,782,462.028747
60.0,455,462.474174
180.0,709,463.180393
210.0,927,464.103206
200.0,1009,465.108738
60.0,429,465.517228
80.0,602,466.105041
210.0,790,466.921202
60.0,494,467.428911
190.0,1087,468.518845
180.0,742,469.277634
460.0,1359,470.669282
220.0,932,471.601962
100.0,919,472.538401
50.0,385,472.919781
55.0,378,473.298302
60.0,630,473.917384
440.0,1027,474.931154
330.0,1574,476.497894
70.0,507,477.016867
65.0,499,477.514777
95.0,645,478.173747
180.0,648,478.827129
35.0,384,479.211848
425.0,1288,480.480835
105.0,653,481.154486
315.0,865,482.042345
460.0,1117,483.193586
105.0,521,483.719606
85.0,630,484.354773
110.0,596,484.948688
35.0,405,485.350088
355.0,803,486.141203
140.0,651,486.769448
110.0,511,487.270734
35.0,520,487.777214
30.0,348,488.123459
135.0,701,488.823975
225.0,818,489.633343
140.0,655,490.295641
95.0,671,490.967794
35.0,513,491.4723
125.0,520,491.989725
45.0,358,492.337232
135.0,705,493.038196
230.0,830,493.88306
615.0,1263,495.148797
40.0,374,495.537236
35.0,515,496.0897
250.0,1002,497.093689
110.0,631,497.712304
45.0,449,498.162464
45.0,521,498.66672
145.0,872,499.534193
110.0,504,500.034286
80.0,436,500.474284
375.0,1208,501.665464
30.0,494,502.153443
45.0,380,502.544264
220.0,736,503.279153
295.0,849,504.124098
140.0,685,504.81112
355.0,808,505.610779
160.0,638,506.245414
310.0,702,506.963282
195.0,955,507.919609
120.0,605,508.555147
240.0,1032,509.60708
55.0,551,510.152005
85.0,800,510.942026
