#{"t_start": 1783721429.796538, "env_id": "SpaceInvaders-v0"}
r,l,t
4.0,422,434.385113
9.0,682,435.006137
12.0,814,435.759393
6.0,623,436.340816
16.0,1000,437.27295
6.0,462,437.693854
3.0,390,438.04029
9.0,490,438.486444
9.0,612,439.021815
13.0,929,439.863963
2.0,412,440.230784
10.0,724,440.898008
8.0,641,441.479434
10.0,634,442.040492
8.0,583,442.553831
13.0,1088,443.518768
10.0,722,444.155527
6.0,647,444.734359
3.0,472,445.159067
8.0,647,445.757083
10.0,678,446.366203
5.0,408,446.749002
11.0,648,447.338538
6.0,432,447.734337
10.0,638,448.327496
12.0,782,449.074861
8.0,502,449.566689
14.0,759,450.263253
11.0,927,451.095119
7.0,656,451.682156
7.0,701,452.313479
2.0,378,452.656741
9.0,541,453.129842
6.0,629,453.702508
5.0,503,454.146472
14.0,806,454.869063
4.0,515,455.33204
6.0,546,455.826452
9.0,772,456.51702
14.0,984,457.400255
15.0,798,458.119927
7.0,549,458.607393
5.0,484,459.041584
6.0,448,459.440616
4.0,331,459.74157
6.0,531,460.263037
16.0,993,461.145281
5.0,647,461.726263
7.0,626,462.317097
8.0,688,462.962153
19.0,899,463.792793
3.0,346,464.104023
5.0,454,464.516258
18.0,1026,465.440107
10.0,559,465.94556
15.0,919,466.780804
3.0,500,467.221875
8.0,604,467.778801
4.0,372,468.104426
16.0,963,468.973093
9.0,585,469.496299
10.0,682,470.118124
13.0,882,470.907308
8.0,418,471.291037
7.0,527,471.774041
4.0,675,472.380957
9.0,513,472.847207
9.0,650,473.440247
11.0,912,474.280992
5.0,476,474.733881
9.0,505,475.214251
5.0,508,475.694105
10.0,687,476.32653
12.0,990,477.262858
13.0,708,477.949692
13.0,971,478.861919
6.0,633,479.456377
10.0,739,480.129509
11.0,681,480.759395
4.0,526,481.244318
20.0,1060,482.229783
4.0,399,482.612005
7.0,626,483.213477
16.0,969,484.099526
17.0,847,484.86314
6.0,475,485.289137
8.0,796,486.033804
12.0,926,486.90149
15.0,839,487.710731
10.0,701,488.359603
12.0,619,488.949866
12.0,790,489.687039
13.0,978,490.587826
11.0,576,491.107762
4.0,405,491.479383
7.0,515,491.953548
11.0,519,492.428719
6.0,696,493.05438
8.0,650,493.656528
12.0,688,494.276961
8.0,754,494.961102
10.0,702,495.593843
8.0,497,496.038056
7.0,537,496.51006
21.0,1044,497.436103
10.0,907,498.25907
14.0,768,498.977372
4.0,376,499.322389
8.0,639,499.912163
5.0,401,500.292038
3.0,459,500.71706
7.0,510,501.179878
5.0,599,501.738025
10.0,649,502.325542
4.0,387,502.683284
15.0,1222,503.795033
8.0,676,504.401748
7.0,774,505.095979
23.0,791,505.802071
10.0,664,506.406817
9.0,580,506.926133
13.0,902,507.740195
5.0,537,508.216966
15.0,934,509.055108
14.0,731,509.719013
13.0,682,510.324516
4.0,495,510.775405
5.0,587,511.321547
15.0,1031,512.298703
9.0,712,512.979126
3.0,433,513.376795
2.0,408,513.745639
