#{"t_start": 1783734476.7252264, "env_id": "SpaceInvaders-v0"}
r,l,t
235.0,917,279.230833
70.0,386,279.580534
30.0,355,279.902254
70.0,668,280.534735
65.0,492,280.99523
415.0,987,281.916477
195.0,846,282.712821
170.0,798,283.451237
85.0,691,284.092695
5.0,347,284.408854
105.0,562,284.919266
35.0,550,285.432718
170.0,910,286.263884
90.0,456,286.718282
100.0,604,287.274162
550.0,1042,288.239209
35.0,623,288.83618
120.0,695,289.482327
115.0,761,290.17254
115.0,624,290.74114
20.0,389,291.092398
80.0,476,291.51813
445.0,1107,292.512213
280.0,1113,293.534218
35.0,446,293.956886
340.0,1028,294.916023
415.0,893,295.756488
130.0,735,296.444998
90.0,527,296.928942
325.0,822,297.674759
165.0,922,298.515485
145.0,611,299.073511
225.0,1311,300.240148
180.0,622,300.817852
375.0,843,301.623428
65.0,359,301.958899
50.0,406,302.321685
110.0,578,302.873593
115.0,841,303.634576
135.0,606,304.184399
185.0,894,305.002669
105.0,612,305.56816
185.0,864,306.37181
200.0,725,307.059913
50.0,384,307.42303
30.0,318,307.736659
55.0,350,308.059269
195.0,769,308.781384
95.0,633,309.375134
25.0,345,309.696701
80.0,519,310.170923
110.0,556,310.673455
255.0,862,311.453229
200.0,943,312.324409
90.0,671,312.927662
35.0,527,313.412683
45.0,555,313.940591
160.0,708,314.631536
35.0,601,315.175358
125.0,777,315.89315
55.0,345,316.194605
105.0,650,316.788224
430.0,1056,317.730931
200.0,691,318.358191
165.0,679,319.010677
315.0,925,319.872865
320.0,1369,321.126609
30.0,357,321.446584
225.0,993,322.345359
30.0,528,322.821961
90.0,541,323.309538
310.0,940,324.160484
55.0,506,324.64843
60.0,708,325.322152
500.0,1241,326.500409
170.0,1309,327.701908
150.0,584,328.24148
100.0,639,328.82823
60.0,677,329.457349
55.0,580,330.000699
185.0,901,330.844889
30.0,412,331.229517
130.0,522,331.710514
30.0,417,332.102334
50.0,679,332.724614
40.0,629,333.307048
135.0,712,333.974907
80.0,624,334.544962
120.0,717,335.203558
90.0,796,335.939478
135.0,739,336.610538
145.0,513,337.067558
10.0,363,337.401271
280.0,828,338.165493
110.0,672,338.776434
155.0,686,339.436702
290.0,1024,340.403236
195.0,921,341.255271
210.0,975,342.174753
265.0,1148,343.230914
545.0,1255,344.403722
85.0,648,345.022421
80.0,635,345.630625
215.0,636,346.226005
55.0,360,346.565267
320.0,885,347.35954
95.0,734,348.041537
405.0,1212,349.13096
80.0,671,349.749924
160.0,650,350.35213
20.0,359,350.682225
120.0,595,351.250134
90.0,532,351.777805
10.0,391,352.14263
185.0,633,352.737152
145.0,813,353.480522
250.0,1172,354.573015
95.0,644,355.162296
25.0,352,355.487118
120.0,611,356.051287
305.0,1295,357.240598
75.0,358,357.565248
30.0,344,357.889223
50.0,401,358.267825
260.0,1062,359.260569
35.0,369,359.593957
135.0,554,360.097554
40.0,617,360.651139
160.0,693,361.280519
70.0,523,361.751901
215.0,726,362.40163
45.0,440,362.82856
260.0,935,363.69725
135.0,634,364.295837
185.0,749,365.019432
85.0,736,365.690636
300.0,1308,366.86305
45.0,509,367.327601
330.0,1081,368.309525
50.0,622,368.894014
150.0,631,369.494578
50.0,331,369.797621
135.0,690,370.431931
110.0,797,371.193702
275.0,1130,372.200703
130.0,525,372.691241
55.0,415,373.055348
320.0,1061,374.015276
20.0,351,374.337265
300.0,964,375.233098
280.0,1000,376.143753
75.0,363,376.476609
80.0,605,377.055862
70.0,688,377.720458
150.0,690,378.342686
200.0,910,379.163512
50.0,350,379.473859
105.0,433,379.862048
75.0,499,380.336711
130.0,698,380.983997
270.0,947,381.868135
170.0,682,382.521236
85.0,381,382.86778
40.0,446,383.273982
95.0,440,383.685643
80.0,635,384.247585
120.0,509,384.71005
60.0,356,385.023158
140.0,671,385.63222
105.0,689,386.270507
125.0,671,386.901909
195.0,861,387.678041
45.0,853,388.503688
30.0,366,388.837724
25.0,363,389.173491
315.0,892,390.016607
235.0,752,390.70528
35.0,541,391.196618
20.0,487,391.645026
265.0,865,392.438219
280.0,1139,393.471984
130.0,647,394.083353
115.0,377,394.425353
120.0,774,395.144799
370.0,868,395.948825
140.0,841,396.724227
130.0,645,397.308734
105.0,713,397.94861
65.0,364,398.275604
60.0,525,398.761131
170.0,885,399.566752
120.0,616,400.129211
100.0,590,400.686067
85.0,401,401.055412
120.0,533,401.559014
50.0,354,401.882503
200.0,898,402.736575
130.0,637,403.322492
285.0,998,404.216767
105.0,750,404.899399
55.0,751,405.591485
190.0,855,406.377716
35.0,537,406.872325
100.0,405,407.247017
75.0,635,407.836828
165.0,926,408.714708
215.0,648,409.297411
110.0,516,409.776771
55.0,494,410.23177
50.0,450,410.644295
60.0,658,411.247229
120.0,642,411.830766
60.0,525,412.306302
80.0,503,412.760054
30.0,399,413.115726
110.0,737,413.802144
90.0,617,414.397475
110.0,541,414.90207
80.0,650,415.537207
115.0,522,416.033716
230.0,890,416.877682
55.0,386,417.218139
200.0,1047,418.167364
35.0,468,418.584317
175.0,794,419.317436
75.0,365,419.651713
110.0,683,420.312787
175.0,1069,421.315844
75.0,443,421.720899
75.0,442,422.119433
130.0,540,422.620339
55.0,503,423.0872
215.0,834,423.844473
80.0,494,424.277451
80.0,456,424.696259
115.0,633,425.278667
80.0,534,425.766817
305.0,1002,426.710722
170.0,958,427.625193
75.0,628,428.219462
185.0,705,428.869872
20.0,511,429.334551
65.0,448,429.756649
45.0,491,430.210577
45.0,539,430.711784
40.0,490,431.17475
115.0,796,431.937144
215.0,998,432.873667
30.0,518,433.361733
105.0,483,433.816377
170.0,905,434.674307
160.0,913,435.515909
35.0,398,435.864072
205.0,835,436.640823
70.0,563,437.159534
170.0,638,437.74548
330.0,1218,438.882356
265.0,1048,439.862664
40.0,646,440.460256
100.0,608,441.061132
260.0,964,441.96412
320.0,716,442.616935
75.0,565,443.127494
55.0,527,443.641515
225.0,1089,444.674074
120.0,653,445.278047
310.0,1030,446.233633
30.0,351,446.567454
35.0,576,447.094651
70.0,370,447.424664
90.0,393,447.779027
45.0,340,448.080975
105.0,651,448.681352
140.0,611,449.226744
280.0,1280,450.38364
80.0,491,450.831155
95.0,411,451.212219
165.0,651,451.831884
110.0,643,452.43381
270.0,937,453.309515
55.0,426,453.721166
165.0,605,454.290076
325.0,1067,455.260481
5.0,306,455.538333
75.0,638,456.127073
210.0,831,456.903383
195.0,885,457.720063
65.0,423,458.115554
105.0,539,458.62694
65.0,403,459.002426
170.0,933,459.84357
200.0,1064,460.806063
125.0,657,461.401731
165.0,760,462.111144
110.0,550,462.620372
165.0,894,463.435629
35.0,357,463.746541
115.0,573,464.284441
85.0,517,464.777924
160.0,779,465.516489
155.0,896,466.37265
70.0,696,467.038368
110.0,480,467.488474
305.0,1024,468.410679
30.0,541,468.922414
105.0,579,469.451369
175.0,713,470.121115
75.0,644,470.73516
110.0,446,471.161498
55.0,669,471.774709
170.0,654,472.373859
145.0,866,473.152161
135.0,634,473.732288
10.0,541,474.221249
90.0,674,474.847011
75.0,534,475.338053
245.0,871,476.133053
255.0,839,476.927689
5.0,319,477.234329
40.0,508,477.730668
160.0,1077,478.758644
275.0,1056,479.749252
105.0,517,480.207144
150.0,631,480.777492
215.0,947,481.656664
105.0,608,482.216799
245.0,694,482.870267
245.0,1169,483.955109
380.0,928,484.800343
470.0,1094,485.779546
595.0,1057,486.720984
80.0,625,487.294669
210.0,846,488.06299
55.0,533,488.548887
170.0,944,489.426919
15.0,322,489.722667
255.0,924,490.586158
140.0,651,491.186973
100.0,670,491.850627
85.0,512,492.327082
120.0,694,492.982874
100.0,753,493.685347
95.0,542,494.183592
25.0,382,494.533045
145.0,671,495.163762
115.0,651,495.778124
125.0,635,496.388191
60.0,393,496.74279
175.0,740,497.428983
315.0,1010,498.338406
105.0,447,498.753303
470.0,865,499.542402
85.0,365,499.882556
55.0,407,500.248429
55.0,636,500.817296
135.0,531,501.306105
90.0,442,501.700249
15.0,374,502.043769
165.0,960,502.957565
100.0,601,503.521146
95.0,596,504.100837
85.0,374,504.468104
450.0,1316,505.653442
60.0,467,506.086409
155.0,631,506.6853
40.0,518,507.177778
205.0,807,507.934907
200.0,686,508.57833
180.0,743,509.27252
60.0,407,509.657189
200.0,726,510.326422
185.0,833,511.074809
135.0,488,511.530382
175.0,687,512.149415
120.0,537,512.638873
225.0,797,513.387516
190.0,716,514.030602
60.0,361,514.361969
125.0,806,515.131313
150.0,949,516.030956
145.0,831,516.838848
165.0,628,517.445932
25.0,322,517.736544
35.0,491,518.181396
35.0,496,518.652059
200.0,757,519.358474
135.0,456,519.789847
155.0,774,520.509377
70.0,605,521.084312
120.0,551,521.602564
120.0,638,522.194787
160.0,768,522.904771
55.0,419,523.296287
115.0,599,523.852258
370.0,1064,524.823746
60.0,577,525.358645
215.0,731,526.019122
115.0,722,526.684635
35.0,692,527.329265
565.0,1062,528.317503
145.0,593,528.886265
150.0,1035,529.870504
30.0,366,530.205878
275.0,900,531.048186
230.0,697,531.670721
60.0,399,532.053386
305.0,1123,533.111215
70.0,638,533.716311
40.0,392,534.07692
25.0,329,534.394618
150.0,986,535.316905
30.0,527,535.799157
120.0,809,536.550175
90.0,536,537.033826
45.0,498,537.488972
50.0,412,537.866347
65.0,435,538.267418
155.0,637,538.848969
145.0,819,539.615536
80.0,517,540.086601
260.0,930,540.97404
100.0,526,541.488712
65.0,475,541.941458
80.0,663,542.591668
90.0,615,543.161348
270.0,1419,544.476107
45.0,334,544.788426
80.0,641,545.380301
200.0,835,546.159946
45.0,544,546.664669
250.0,928,547.529494
205.0,731,548.2085
90.0,377,548.553226
110.0,542,549.040361
60.0,481,549.477433
95.0,472,549.907182
35.0,340,550.206058
85.0,526,550.698364
85.0,619,551.264496
335.0,981,552.154909
180.0,687,552.798258
265.0,979,553.725285
50.0,489,554.174944
25.0,396,554.552768
560.0,1262,555.74158
130.0,873,556.552837
510.0,1027,557.517616
140.0,639,558.132053
95.0,439,558.53231
20.0,331,558.840599
60.0,494,559.292782
110.0,657,559.891792
60.0,531,560.374484
535.0,878,561.171036
85.0,558,561.682403
145.0,722,562.337141
55.0,499,562.790375
110.0,516,563.25635
125.0,630,563.843199
205.0,915,564.699864
140.0,697,565.322992
250.0,935,566.215673
90.0,410,566.605486
100.0,628,567.212791
25.0,450,567.643573
125.0,875,568.491228
45.0,405,568.855564
325.0,851,569.646912
60.0,379,570.007295
50.0,491,570.473892
55.0,585,571.01971
75.0,502,571.496591
170.0,585,572.041033
55.0,422,572.434704
25.0,603,572.992165
260.0,926,573.843623
115.0,621,574.425548
135.0,531,574.927341
160.0,635,575.5235
110.0,758,576.229868
65.0,437,576.653857
120.0,667,577.256299
40.0,490,577.716364
285.0,791,578.46332
175.0,677,579.110124
260.0,900,579.958685
105.0,339,580.291549
85.0,380,580.658562
245.0,992,581.595035
135.0,640,582.189242
50.0,352,582.506078
330.0,1006,583.438618
25.0,522,583.930842
110.0,617,584.523887
120.0,663,585.14201
60.0,647,585.75644
110.0,666,586.360326
235.0,833,587.136483
230.0,1000,588.059533
175.0,918,588.900483
105.0,450,589.304692
35.0,392,589.65866
80.0,529,590.151362
35.0,378,590.496751
50.0,523,590.993141
195.0,644,591.625582
175.0,806,592.391201
75.0,818,593.166265
110.0,509,593.664068
400.0,1036,594.619189
195.0,770,595.347221
240.0,1062,596.35648
95.0,489,596.820606
220.0,784,597.564396
110.0,607,598.126319
85.0,457,598.540306
155.0,509,598.999056
120.0,498,599.46448
30.0,579,599.992283
120.0,624,600.573037
135.0,743,601.24966
115.0,661,601.859575
70.0,707,602.50755
240.0,916,603.359776
195.0,988,604.325825
45.0,471,604.775373
220.0,1009,605.744637
145.0,638,606.350861
150.0,764,607.064908
200.0,1168,608.161623
200.0,950,609.057256
415.0,985,609.988368
110.0,520,610.480181
60.0,634,611.066926
60.0,498,611.526289
260.0,747,612.196841
50.0,616,612.767643
330.0,771,613.48131
25.0,402,613.85253
115.0,492,614.302687
105.0,421,614.705215
40.0,369,615.032666
75.0,501,615.505594
430.0,1099,616.5408
30.0,368,616.882236
345.0,799,617.631277
90.0,497,618.10673
270.0,1166,619.228585
105.0,618,619.798078
200.0,798,620.580615
